trial0013, 000600, AA_B201, 530, 4, 132.738910, AA_B202, 566, 4, 141.669194, AA_B203, 564, 4, 141.032211, AA_B204, 578, 4, 144.570296, AA_B205, 511, 4, 127.757303, AA_B206, 525, 4, 131.305861, AA_B207, 583, 4, 145.863264, AA_B208, 627, 4, 156.907022, AA_B209, 557, 4, 139.499928, AA_B210, 578, 4, 144.633721, ZIC, 3786, 44, 86.057841, ZIP, 5026, 44, 114.239640, 117, 121, 
trial0014, 000600, AA_B201, 465, 4, 116.298685, AA_B202, 554, 4, 138.549819, AA_B203, 429, 4, 107.384806, AA_B204, 576, 4, 144.080103, AA_B205, 478, 4, 119.516206, AA_B206, 462, 4, 115.546467, AA_B207, 489, 4, 122.354283, AA_B208, 473, 4, 118.415493, AA_B209, 461, 4, 115.267215, AA_B210, 482, 4, 120.506220, ZIC, 3921, 44, 89.125871, ZIP, 5045, 44, 114.676920, 138, 149, 
trial0015, 000600, AA_B201, 507, 4, 126.778884, AA_B202, 558, 4, 139.666241, AA_B203, 434, 4, 108.729273, AA_B204, 544, 4, 136.007004, AA_B205, 545, 4, 136.425550, AA_B206, 494, 4, 123.536971, AA_B207, 466, 4, 116.626003, AA_B208, 515, 4, 128.875168, AA_B209, 515, 4, 128.864084, AA_B210, 554, 4, 138.658088, ZIC, 3773, 44, 85.751752, ZIP, 5546, 44, 126.051223, 133, 169, 
trial0016, 000600, AA_B201, 451, 4, 112.904942, AA_B202, 590, 4, 147.691927, AA_B203, 529, 4, 132.415253, AA_B204, 480, 4, 120.121474, AA_B205, 570, 4, 142.744270, AA_B206, 569, 4, 142.270509, AA_B207, 452, 4, 113.018601, AA_B208, 492, 4, 123.132471, AA_B209, 492, 4, 123.179577, AA_B210, 562, 4, 140.673711, ZIC, 4158, 44, 94.519622, ZIP, 5067, 44, 115.171039, 124, 132, 
trial0017, 000600, AA_B201, 517, 4, 129.376188, AA_B202, 516, 4, 129.038644, AA_B203, 483, 4, 120.892960, AA_B204, 600, 4, 150.072046, AA_B205, 494, 4, 123.601192, AA_B206, 580, 4, 145.150670, AA_B207, 439, 4, 109.859508, AA_B208, 511, 4, 127.887023, AA_B209, 519, 4, 129.876871, AA_B210, 569, 4, 142.323609, ZIC, 4067, 44, 92.440591, ZIP, 5074, 44, 115.324980, 112, 138, 
trial0018, 000600, AA_B201, 546, 4, 136.590355, AA_B202, 501, 4, 125.455527, AA_B203, 533, 4, 133.445812, AA_B204, 603, 4, 150.750255, AA_B205, 565, 4, 141.395227, AA_B206, 516, 4, 129.152443, AA_B207, 531, 4, 132.820767, AA_B208, 531, 4, 132.796179, AA_B209, 492, 4, 123.249764, AA_B210, 527, 4, 131.810237, ZIC, 3927, 44, 89.260928, ZIP, 4989, 44, 113.401202, 133, 134, 
trial0019, 000600, AA_B201, 542, 4, 135.630970, AA_B202, 527, 4, 131.782809, AA_B203, 531, 4, 132.768678, AA_B204, 538, 4, 134.629741, AA_B205, 577, 4, 144.309726, AA_B206, 555, 4, 138.831596, AA_B207, 591, 4, 147.779980, AA_B208, 550, 4, 137.526916, AA_B209, 534, 4, 133.724255, AA_B210, 577, 4, 144.386170, ZIC, 3710, 44, 84.336247, ZIP, 5140, 44, 116.834586, 126, 134, 
trial0020, 000600, AA_B201, 544, 4, 136.095178, AA_B202, 456, 4, 114.056153, AA_B203, 463, 4, 115.807339, AA_B204, 441, 4, 110.274330, AA_B205, 539, 4, 134.848281, AA_B206, 472, 4, 118.239305, AA_B207, 461, 4, 115.367181, AA_B208, 484, 4, 121.054151, AA_B209, 533, 4, 133.333897, AA_B210, 546, 4, 136.540076, ZIC, 3700, 44, 84.093783, ZIP, 5040, 44, 114.554772, 124, 130, 
trial0021, 000600, AA_B201, 512, 4, 128.117301, AA_B202, 566, 4, 141.564295, AA_B203, 546, 4, 136.607931, AA_B204, 555, 4, 138.930442, AA_B205, 584, 4, 146.114246, AA_B206, 469, 4, 117.419827, AA_B207, 540, 4, 135.155172, AA_B208, 495, 4, 123.901001, AA_B209, 573, 4, 143.473045, AA_B210, 556, 4, 139.054065, ZIC, 3960, 44, 90.020478, ZIP, 5316, 44, 120.835220, 141, 142, 
trial0022, 000600, AA_B201, 502, 4, 125.643584, AA_B202, 588, 4, 147.223603, AA_B203, 538, 4, 134.526170, AA_B204, 543, 4, 135.929547, AA_B205, 484, 4, 121.133799, AA_B206, 457, 4, 114.253179, AA_B207, 557, 4, 139.296926, AA_B208, 497, 4, 124.472303, AA_B209, 498, 4, 124.660242, AA_B210, 466, 4, 116.662487, ZIC, 3549, 44, 80.671113, ZIP, 4920, 44, 111.824174, 121, 130, 
