trial0033, AA, 2668, 20, 133.446474, AA_Clever, 1021, 20, 51.055579, ZIC, 2562, 20, 128.138240, ZIP, 3227, 20, 161.359707, 67, 90, 
trial0034, AA, 3670, 20, 183.525477, AA_Clever, 2920, 20, 146.032968, ZIC, 1761, 20, 88.081174, ZIP, 2409, 20, 120.460380, 102, 108, 
trial0035, AA, 2965, 20, 148.299136, AA_Clever, 2978, 20, 148.917557, ZIC, 1545, 20, 77.299373, ZIP, 3129, 20, 156.483935, 97, 102, 
trial0036, AA, 2177, 20, 108.876687, AA_Clever, 2702, 20, 135.101337, ZIC, 2295, 20, 114.785447, ZIP, 2950, 20, 147.536529, 67, 80, 
trial0037, AA, 3680, 20, 184.026259, AA_Clever, 2497, 20, 124.852365, ZIC, 2111, 20, 105.573708, ZIP, 2480, 20, 124.047669, 100, 110, 
trial0038, AA, 3113, 20, 155.679738, AA_Clever, 2514, 20, 125.704447, ZIC, 3215, 20, 160.780963, ZIP, 2532, 20, 126.634852, 114, 123, 
trial0039, AA, 3194, 20, 159.747513, AA_Clever, 3319, 20, 165.950110, ZIC, 1918, 20, 95.900648, ZIP, 2268, 20, 113.401730, 81, 102, 
trial0040, AA, 2309, 20, 115.499445, AA_Clever, 2367, 20, 118.368072, ZIC, 3529, 20, 176.487304, ZIP, 2346, 20, 117.345179, 99, 106, 
trial0041, AA, 2256, 20, 112.825339, AA_Clever, 3098, 20, 154.915398, ZIC, 2548, 20, 127.439315, ZIP, 2744, 20, 137.219948, 97, 99, 
trial0042, AA, 2335, 20, 116.771991, AA_Clever, 2814, 20, 140.714552, ZIC, 2635, 20, 131.773228, ZIP, 2688, 20, 134.440229, 90, 106, 
trial0043, AA, 2354, 20, 117.704057, AA_Clever, 2841, 20, 142.053915, ZIC, 2783, 20, 139.172494, ZIP, 2873, 20, 143.669534, 78, 93, 
trial0044, AA, 3215, 20, 160.754142, AA_Clever, 2027, 20, 101.362198, ZIC, 2418, 20, 120.903896, ZIP, 2381, 20, 119.079765, 84, 92, 
