trial0012, 000600, AA_L00, 503, 4, 125.799761, AA_L01, 531, 4, 132.785456, AA_L02, 477, 4, 119.297825, AA_L03, 514, 4, 128.620219, AA_L04, 477, 4, 119.262429, AA_L05, 483, 4, 120.887033, AA_L06, 546, 4, 136.685322, AA_L07, 362, 4, 90.513000, AA_L08, 455, 4, 113.922859, AA_L09, 558, 4, 139.646182, AA_L10, 477, 4, 119.404200, ZIC, 3800, 44, 86.379767, ZIP, 5201, 44, 118.227116, 126, 138, 
trial0013, 000600, AA_L00, 515, 4, 128.981466, AA_L01, 531, 4, 132.779152, AA_L02, 470, 4, 117.674735, AA_L03, 492, 4, 123.093411, AA_L04, 487, 4, 121.897229, AA_L05, 460, 4, 115.233621, AA_L06, 499, 4, 124.976757, AA_L07, 473, 4, 118.328023, AA_L08, 464, 4, 116.144188, AA_L09, 607, 4, 151.806722, AA_L10, 541, 4, 135.386169, ZIC, 4234, 44, 96.246403, ZIP, 5276, 44, 119.930735, 132, 138, 
trial0014, 000600, AA_L00, 433, 4, 108.317295, AA_L01, 552, 4, 138.218751, AA_L02, 493, 4, 123.286033, AA_L03, 433, 4, 108.444310, AA_L04, 590, 4, 147.607605, AA_L05, 492, 4, 123.162169, AA_L06, 537, 4, 134.499761, AA_L07, 523, 4, 130.831791, AA_L08, 547, 4, 136.831251, AA_L09, 535, 4, 133.782166, AA_L10, 524, 4, 131.136307, ZIC, 3917, 44, 89.036626, ZIP, 5078, 44, 115.429970, 139, 142, 
trial0015, 000600, AA_L00, 522, 4, 130.532847, AA_L01, 495, 4, 123.754062, AA_L02, 534, 4, 133.645448, AA_L03, 565, 4, 141.412351, AA_L04, 520, 4, 130.054519, AA_L05, 511, 4, 127.940264, AA_L06, 538, 4, 134.592019, AA_L07, 532, 4, 133.148630, AA_L08, 521, 4, 130.345545, AA_L09, 555, 4, 138.840282, AA_L10, 504, 4, 126.219656, ZIC, 3635, 44, 82.616336, ZIP, 5247, 44, 119.271335, 125, 125, 
trial0016, 000600, AA_L00, 540, 4, 135.133373, AA_L01, 472, 4, 118.095974, AA_L02, 588, 4, 147.225786, AA_L03, 519, 4, 129.905999, AA_L04, 471, 4, 117.795439, AA_L05, 470, 4, 117.537638, AA_L06, 515, 4, 128.943009, AA_L07, 553, 4, 138.349254, AA_L08, 533, 4, 133.300385, AA_L09, 529, 4, 132.276190, AA_L10, 531, 4, 132.944994, ZIC, 4039, 44, 91.801969, ZIP, 5257, 44, 119.492755, 129, 130, 
trial0017, 000600, AA_L00, 570, 4, 142.728449, AA_L01, 520, 4, 130.156825, AA_L02, 524, 4, 131.238961, AA_L03, 611, 4, 152.839121, AA_L04, 527, 4, 131.967279, AA_L05, 584, 4, 146.122499, AA_L06, 497, 4, 124.408922, AA_L07, 492, 4, 123.166428, AA_L08, 567, 4, 141.843163, AA_L09, 586, 4, 146.730223, AA_L10, 512, 4, 128.002291, ZIC, 4038, 44, 91.793687, ZIP, 4917, 44, 111.755935, 125, 145, 
trial0018, 000600, AA_L00, 523, 4, 130.787396, AA_L01, 484, 4, 121.026107, AA_L02, 463, 4, 115.853703, AA_L03, 451, 4, 112.776477, AA_L04, 485, 4, 121.308879, AA_L05, 553, 4, 138.421708, AA_L06, 558, 4, 139.693005, AA_L07, 529, 4, 132.494144, AA_L08, 569, 4, 142.302294, AA_L09, 555, 4, 138.985812, AA_L10, 476, 4, 119.110823, ZIC, 4135, 44, 93.982835, ZIP, 5013, 44, 113.948043, 125, 143, 
trial0019, 000600, AA_L00, 411, 4, 102.958511, AA_L01, 479, 4, 119.833798, AA_L02, 464, 4, 116.074157, AA_L03, 504, 4, 126.082584, AA_L04, 448, 4, 112.146308, AA_L05, 445, 4, 111.425537, AA_L06, 496, 4, 124.021885, AA_L07, 428, 4, 107.149883, AA_L08, 431, 4, 107.851527, AA_L09, 432, 4, 108.121221, AA_L10, 434, 4, 108.659202, ZIC, 4042, 44, 91.881064, ZIP, 5170, 44, 117.521244, 121, 138, 
trial0020, 000600, AA_L00, 483, 4, 120.978422, AA_L01, 501, 4, 125.371241, AA_L02, 495, 4, 123.786247, AA_L03, 563, 4, 140.814209, AA_L04, 512, 4, 128.159642, AA_L05, 509, 4, 127.265530, AA_L06, 465, 4, 116.493180, AA_L07, 518, 4, 129.712509, AA_L08, 556, 4, 139.006205, AA_L09, 560, 4, 140.119205, AA_L10, 543, 4, 135.999276, ZIC, 3822, 44, 86.880161, ZIP, 4946, 44, 112.419324, 124, 137, 
trial0021, 000600, AA_L00, 540, 4, 135.200651, AA_L01, 530, 4, 132.531160, AA_L02, 475, 4, 118.970651, AA_L03, 496, 4, 124.204741, AA_L04, 535, 4, 133.915700, AA_L05, 539, 4, 134.946837, AA_L06, 500, 4, 125.046350, AA_L07, 534, 4, 133.618687, AA_L08, 534, 4, 133.590910, AA_L09, 627, 4, 156.941640, AA_L10, 563, 4, 140.828693, ZIC, 4105, 44, 93.297674, ZIP, 5051, 44, 114.811779, 142, 150, 
trial0022, 000600, AA_L00, 554, 4, 138.691378, AA_L01, 502, 4, 125.548292, AA_L02, 563, 4, 140.775541, AA_L03, 498, 4, 124.614275, AA_L04, 580, 4, 145.205532, AA_L05, 527, 4, 131.897534, AA_L06, 530, 4, 132.666807, AA_L07, 545, 4, 136.430710, AA_L08, 570, 4, 142.564040, AA_L09, 486, 4, 121.649171, AA_L10, 458, 4, 114.736657, ZIC, 4100, 44, 93.197595, ZIP, 5265, 44, 119.663320, 112, 126, 
trial0023, 000600, AA_L00, 517, 4, 129.262312, AA_L01, 445, 4, 111.419103, AA_L02, 438, 4, 109.582194, AA_L03, 570, 4, 142.634817, AA_L04, 571, 4, 142.928035, AA_L05, 504, 4, 126.235499, AA_L06, 453, 4, 113.340282, AA_L07, 497, 4, 124.323974, AA_L08, 455, 4, 113.829645, AA_L09, 496, 4, 124.056762, AA_L10, 523, 4, 130.793072, ZIC, 3686, 44, 83.774169, ZIP, 5161, 44, 117.302586, 128, 138, 
trial0024, 000600, AA_L00, 547, 4, 136.957661, AA_L01, 598, 4, 149.573101, AA_L02, 498, 4, 124.679256, AA_L03, 538, 4, 134.598854, AA_L04, 473, 4, 118.441401, AA_L05, 483, 4, 120.775830, AA_L06, 502, 4, 125.636146, AA_L07, 545, 4, 136.489507, AA_L08, 505, 4, 126.300711, AA_L09, 495, 4, 123.971480, AA_L10, 508, 4, 127.103491, ZIC, 3593, 44, 81.675465, ZIP, 4970, 44, 112.958404, 128, 130, 
trial0025, 000600, AA_L00, 444, 4, 111.241733, AA_L01, 416, 4, 104.222116, AA_L02, 525, 4, 131.392905, AA_L03, 562, 4, 140.556348, AA_L04, 495, 4, 123.943588, AA_L05, 484, 4, 121.242289, AA_L06, 538, 4, 134.723593, AA_L07, 521, 4, 130.498044, AA_L08, 432, 4, 108.066404, AA_L09, 499, 4, 124.866318, AA_L10, 564, 4, 141.240416, ZIC, 4079, 44, 92.727164, ZIP, 5168, 44, 117.455222, 131, 137, 
trial0026, 000600, AA_L00, 652, 4, 163.166273, AA_L01, 513, 4, 128.429349, AA_L02, 585, 4, 146.428182, AA_L03, 591, 4, 147.948332, AA_L04, 600, 4, 150.188417, AA_L05, 488, 4, 122.144963, AA_L06, 549, 4, 137.418595, AA_L07, 579, 4, 144.977259, AA_L08, 549, 4, 137.291077, AA_L09, 545, 4, 136.395838, AA_L10, 477, 4, 119.448671, ZIC, 3639, 44, 82.722185, ZIP, 5004, 44, 113.747183, 121, 138, 
trial0027, 000600, AA_L00, 549, 4, 137.321674, AA_L01, 499, 4, 124.847525, AA_L02, 467, 4, 116.930206, AA_L03, 535, 4, 133.972007, AA_L04, 565, 4, 141.491759, AA_L05, 588, 4, 147.102238, AA_L06, 374, 4, 93.616244, AA_L07, 457, 4, 114.485933, AA_L08, 555, 4, 138.871597, AA_L09, 590, 4, 147.653906, AA_L10, 533, 4, 133.431863, ZIC, 3695, 44, 83.993566, ZIP, 5300, 44, 120.463257, 117, 127, 
